,Precision,Recall,F1,Accuracy
Model 1: Logistic,0.5238095238095238,0.43137254901960786,0.4731182795698925,0.8775
Model 2: SVM,0.5666666666666667,0.3333333333333333,0.4197530864197531,0.8825
Model 3: Decision Tree,0.38028169014084506,0.5294117647058824,0.4426229508196721,0.83
Model 4: Random Forest,0.6190476190476191,0.5098039215686274,0.5591397849462365,0.8975
Model 5: Gradient Boosted Tree,0.5641025641025641,0.43137254901960786,0.48888888888888893,0.885
Model 6: Logisitic-ROS,0.35384615384615387,0.9019607843137255,0.5082872928176796,0.7775
Model 7: Logistic-SMOTE,0.3671875,0.9215686274509803,0.5251396648044693,0.7875
Model 8: Logistic-Cluster centroid US,0.3409090909090909,0.8823529411764706,0.4918032786885246,0.7675
Model 9: Balanced Random Forest Classifier,0.3643410852713178,0.9215686274509803,0.5222222222222221,0.785
Model 10: Easy Ensemble Ada Boost Classifier,0.33093525179856115,0.9019607843137255,0.4842105263157894,0.755
